forum_id,forum_timestamp,total_posts,user_id,total_posts_per_user
17924097,2005-10-06 10:53:36,129,37a4045ac8054fb73af2b0ea73d21b3f,97
17924097,2005-10-06 10:53:36,129,9ddaf41c17205ed390f7d2333f30f1ee,1
17924097,2005-10-06 10:53:36,129,2d6c4be6b6a408a6a9e596d7aa6a70bd,1
17924097,2005-10-06 10:53:36,129,7dd579a0889ecbc7b5881c2d4f452ee9,1
17924097,2005-10-06 10:53:36,129,d62bffffd3f252f2d70ec015b4fd1c4f,4
17924097,2005-10-06 10:53:36,129,48eaff0b111441ee74b0df76662c17c6,1
17924097,2005-10-06 10:53:36,129,e13385b258b27921f6cbd3f6445b3e6a,1
17924097,2005-10-06 10:53:36,129,8ba47e433c3c4ef0b08c5a067d5cfe52,1
17924097,2005-10-06 10:53:36,129,447d45bd89040df5cab7ffad12f3916e,1
17924097,2005-10-06 10:53:36,129,986248d46b461bd948b1a1279fa0f639,3
17924097,2005-10-06 10:53:36,129,6db083afbb7144dc0da258043a4aaa5f,3
17924097,2005-10-06 10:53:36,129,e1c3000fcf9d2800bd5952fe83fc7779,6
17924097,2005-10-06 10:53:36,129,248de21322e460eaf426862f5e67f3fe,1
17924097,2005-10-06 10:53:36,129,e1d6ae1f6ea0b81a2bba4428d866c7e4,1
17924097,2005-10-06 10:53:36,129,f444d1d3ee875233e2316e7aad7b558d,1
17924097,2005-10-06 10:53:36,129,e9ce584bdf4024f4868363ffd39da44d,1
17924097,2005-10-06 10:53:36,129,732e51cd510f30dbfe3fec9b9e546732,1
17924097,2005-10-06 10:53:36,129,d066fd4c0b15fbc2e4092a81a9f91490,1
17924097,2005-10-06 10:53:36,129,9260db618f9a29cc9a9682e070f1cc0f,1
17924097,2005-10-06 10:53:36,129,a11ca640035f06343757d46441979bf1,2
53379073,2005-12-14 09:49:59,166,5203e69266ab56f41382ae8196b0a079,35
53379073,2005-12-14 09:49:59,166,efcf6c5c6aa66402f6e5e50b6f3484cd,7
53379073,2005-12-14 09:49:59,166,ae2bace100314e0c9fc6652fb66c81e4,6
53379073,2005-12-14 09:49:59,166,ce1c2fd92508334de29ccd7f6bf280d2,22
53379073,2005-12-14 09:49:59,166,483c025d5f5583d5a7a25a0b1d0dc663,2
53379073,2005-12-14 09:49:59,166,26fca1b4f5ed5098bd9618655bb63742,1
53379073,2005-12-14 09:49:59,166,2c2be155a1c073ca2981acfca3001f35,15
53379073,2005-12-14 09:49:59,166,53aa49403eaa7830ab10234d95089dfb,59
