user_id,question_start_time,question_end_time,role
37a4045ac8054fb73af2b0ea73d21b3f,2005-09-16 09:34:22,2012-05-29 14:52:37,student
9ddaf41c17205ed390f7d2333f30f1ee,unknown,unknown,unknown
2d6c4be6b6a408a6a9e596d7aa6a70bd,unknown,unknown,unknown
7dd579a0889ecbc7b5881c2d4f452ee9,unknown,unknown,unknown
d62bffffd3f252f2d70ec015b4fd1c4f,unknown,unknown,unknown
48eaff0b111441ee74b0df76662c17c6,unknown,unknown,unknown
e13385b258b27921f6cbd3f6445b3e6a,unknown,unknown,unknown
8ba47e433c3c4ef0b08c5a067d5cfe52,unknown,unknown,unknown
447d45bd89040df5cab7ffad12f3916e,unknown,unknown,unknown
986248d46b461bd948b1a1279fa0f639,unknown,unknown,unknown
6db083afbb7144dc0da258043a4aaa5f,unknown,unknown,unknown
e1c3000fcf9d2800bd5952fe83fc7779,unknown,unknown,unknown
248de21322e460eaf426862f5e67f3fe,unknown,unknown,unknown
e1d6ae1f6ea0b81a2bba4428d866c7e4,unknown,unknown,unknown
f444d1d3ee875233e2316e7aad7b558d,unknown,unknown,unknown
e9ce584bdf4024f4868363ffd39da44d,unknown,unknown,unknown
732e51cd510f30dbfe3fec9b9e546732,unknown,unknown,unknown
d066fd4c0b15fbc2e4092a81a9f91490,unknown,unknown,unknown
9260db618f9a29cc9a9682e070f1cc0f,unknown,unknown,unknown
a11ca640035f06343757d46441979bf1,unknown,unknown,unknown
5203e69266ab56f41382ae8196b0a079,2005-09-06 15:46:38,2012-10-04 17:03:59,unknown
efcf6c5c6aa66402f6e5e50b6f3484cd,2005-09-07 14:06:02,2012-11-20 15:32:23,unknown
ae2bace100314e0c9fc6652fb66c81e4,2005-09-08 13:25:15,2012-11-20 15:24:51,member
ae2bace100314e0c9fc6652fb66c81e4,2005-09-08 13:25:15,2012-11-20 15:24:51,staff
ae2bace100314e0c9fc6652fb66c81e4,2005-09-08 13:25:15,2012-11-20 15:24:51,employee
ce1c2fd92508334de29ccd7f6bf280d2,2005-09-09 07:39:06,2012-11-20 08:05:46,member
ce1c2fd92508334de29ccd7f6bf280d2,2005-09-09 07:39:06,2012-11-20 08:05:46,staff
